Code,Name,BusStopCategory,CityCategory,Junction,Hospital,Shops,GovtSchool,PrivateSchool,LaGeo,LoGeo,Govtoffice,Population
1,Kasaragod,1,1,1,5,552,3,4,12.49138845,74.98763482,2,13950
2,Vidya Nagar,2,3,0,0,172,1,2,12.51558659,75.0229333,0,4780
3,4th Mile,4,6,0,1,15,0,0,12.51118752,75.03336173,0,4503
4,Cherkala,1,2,1,0,113,1,3,12.50858993,75.05584937,3,9645
5,Chatanchal,2,3,1,0,45,2,3,12.47972151,75.05790931,2,9567
6,Poinachi,2,3,1,1,33,0,0,12.46446896,75.0581668,3,9639
7,Periyatadukkam,4,6,1,0,6,0,0,12.42993791,75.07258636,0,4389
8,Periye Bazar,3,4,0,0,12,1,0,12.41049121,75.09314281,1,6589
9,Periye Bus Stop,2,2,1,1,63,1,1,12.40931766,75.09438735,3,9921
10,Chalingal,4,6,0,0,9,0,0,12.38433648,75.10091048,0,4100
11,Pollakada,4,6,0,0,4,0,0,12.37094141,75.09878556,0,4280
12,Pullur,4,6,0,0,13,1,0,12.35494887,75.09479443,0,4156
13,Mavungal,2,4,1,0,40,0,2,12.33954228,75.10509412,1,6050
14,Kanhnagad,1,1,1,4,361,3,5,12.32210134,75.08642594,3,11248
15,Chemnad,4,5,1,0,27,1,0,12.49405293,75.00227426,0,4305
16,Mavila Road,4,6,0,0,2,0,0,12.48879455,75.00652288,0,4511
17,Paravanadukkam,2,3,0,0,21,2,1,12.48367808,75.01055928,2,9570
18,Anjangadi,4,5,0,0,1,0,0,12.48315432,75.0146577,0,4370
19,kappana,4,6,0,0,3,0,0,12.48273531,75.02049418,0,4521
20,Deli,3,4,1,1,31,2,1,12.47908991,75.0234768,2,9532
21,Koliyadukkam,4,6,0,0,14,1,0,12.4810422,75.03113509,0,4002
22,Amablathara,2,3,0,0,33,1,0,12.3742199,75.1335722,3,9505
23,Parapally,4,6,0,0,12,0,0,12.3778933,75.1367123,0,4048
24,Eriya,4,6,0,0,8,0,1,12.3921208,75.1672858,0,4123
25,7th Mile ,4,6,1,0,5,0,1,12.3882989,75.1801622,0,4709
26,Attenganam,3,4,0,0,17,2,1,12.3922538,75.190515,1,6604
27,Odayanchal,2,3,1,1,52,1,2,12.4016934,75.2030272,2,9690
28,Chullikkara,3,4,0,0,26,1,2,75.2449892,75.2284069,1,6000
29,Rajapuram,2,4,0,1,41,0,0,12.4215687,75.2449892,2,9690
30,Kalar,4,6,0,0,11,1,1,12.4284645,12.4284645,0,4100
31,Mallakallu,3,5,0,0,27,0,0,12.4413986,75.2711776,1,7510
32,Kolichal,4,6,0,0,11,0,0,12.4459026,75.291034,0,4402
33,Panathadi,2,3,1,0,34,1,3,12.457125,75.3076904,2,9500
34,Balanthodu,4,6,0,0,18,0,1,12.4590594,75.3234673,0,4289
35,Panathur,1,2,0,1,113,1,3,12.4570658,75.3572501,2,12426
36,Povval,3,5,0,0,21,1,0,12.5073031,75.0815557,1,7328
37,Bovikanam,2,3,1,1,34,1,0,12.5020515,75.0873956,2,9489
38,muliyar,4,6,0,0,5,1,0,12.512229,75.1195107,0,4237
39,Kotoor,4,6,0,0,9,0,1,12.5143487,75.1228799,0,4412
40,Karmanthody,3,5,0,0,17,0,0,12.5316072,75.1561832,1,7298
41,Mulleria,1,1,1,1,94,1,2,12.5509779,75.1632937,2,9453
41,Melparamba,2,3,0,0,47,1,0,12.4682366,75.0070792,2,9479
42,Iduvungal,4,6,0,0,9,0,2,12.4568424,75.0133596,0,4893
43,Kalanad,3,5,0,0,35,0,0,12.45694514,75.01368974,1,7598
44,Udma,3,5,0,1,33,2,5,12.43968356,75.02502826,0,4203
45,Pallakunu,2,2,1,0,44,1,4,12.42753664,75.023222,2,9459
46,Kotikulam,3,5,0,1,20,1,0,12.42387578,75.02290427,0,4502
47,Trikanad,4,6,0,0,8,0,1,12.4127155,75.02212446,0,4520
48,Bekal,2,3,0,0,48,1,2,12.42018556,75.02228739,2,9539
49,Bekal Fort,4,5,0,0,3,0,0,12.3954052,75.03528976,0,4289
50,Pallikere,2,3,1,0,52,1,2,12.39090795,75.04205581,2,9475
51,Puchakad,4,6,0,0,14,0,0,12.36953008,75.05724784,0,4239
52,Chithari,3,5,0,0,21,0,0,12.35946929,75.06523009,1,7530
